Offset-Description                                                                   
0000 - Pointer           DE7D73C8 : P->028DEF14        DE7D3300 : P->028DEF14        
0294 - 4 Bytes (Hex)     DE7D765C : 000D0E00           DE7D3594 : 00001401           
0298 - 4 Bytes (Hex)     DE7D7660 : 00040000           DE7D3598 : 00030000           
029C - 4 Bytes (Hex)     DE7D7664 : 000FF1FF           DE7D359C : 000F0000           
02A0 - 4 Bytes           DE7D7668 : 0                  DE7D35A0 : 0                  
02A4 - Pointer           DE7D766C : P->01101102        DE7D35A4 : P->01100012        
02A8 - 4 Bytes (Hex)     DE7D7670 : 00040012           DE7D35A8 : 00032F10           
02AC - Pointer           DE7D7674 : P->FF000000        DE7D35AC : P->FF000000        
02B0 - 4 Bytes           DE7D7678 : 255                DE7D35B0 : 255                
02B4 - 4 Bytes           DE7D767C : 0                  DE7D35B4 : 0                  
02B8 - 4 Bytes           DE7D7680 : 0                  DE7D35B8 : 0                  
02BC - 4 Bytes           DE7D7684 : 0                  DE7D35BC : 0                  
02C0 - 4 Bytes           DE7D7688 : 0                  DE7D35C0 : 0                  
02C4 - 4 Bytes           DE7D768C : 6798               DE7D35C4 : 60027              
02C8 - 4 Bytes           DE7D7690 : 0                  DE7D35C8 : 0                  
02CC - Double            DE7D7694 : 0.00028567085973945DE7D35CC : 0.000764829572290424
02D4 - 4 Bytes           DE7D769C : 0                  DE7D35D4 : 0                  
02D8 - 4 Bytes           DE7D76A0 : 0                  DE7D35D8 : 0                  
02DC - 4 Bytes           DE7D76A4 : 0                  DE7D35DC : 0                  
02E0 - 4 Bytes           DE7D76A8 : 4804               DE7D35E0 : 2002               
02E4 - 4 Bytes           DE7D76AC : 0                  DE7D35E4 : 0                  
02E8 - 4 Bytes           DE7D76B0 : 0                  DE7D35E8 : 0                  
02EC - 4 Bytes           DE7D76B4 : 0                  DE7D35EC : 0                  
02F0 - 4 Bytes           DE7D76B8 : 0                  DE7D35F0 : 0                  
02F4 - 4 Bytes           DE7D76BC : 0                  DE7D35F4 : 0                  
02F8 - 4 Bytes           DE7D76C0 : 0                  DE7D35F8 : 10000              
02FC - 4 Bytes           DE7D76C4 : 1250               DE7D35FC : 1250               
0300 - 4 Bytes           DE7D76C8 : 3518               DE7D3600 : 0                  
0304 - 4 Bytes           DE7D76CC : 0                  DE7D3604 : 0                  
0308 - 4 Bytes           DE7D76D0 : 4804               DE7D3608 : 2002               
030C - 4 Bytes           DE7D76D4 : 5000               DE7D360C : 2600               
0310 - 4 Bytes           DE7D76D8 : 0                  DE7D3610 : 10000              
0314 - 4 Bytes           DE7D76DC : 12000              DE7D3614 : 10000              
0318 - 4 Bytes           DE7D76E0 : 0                  DE7D3618 : 0                  
031C - 4 Bytes           DE7D76E4 : 0                  DE7D361C : 915224             
0320 - 4 Bytes           DE7D76E8 : 0                  DE7D3620 : 1000000            
0324 - 4 Bytes           DE7D76EC : 0                  DE7D3624 : 20999              
0328 - 4 Bytes           DE7D76F0 : 0                  DE7D3628 : 100000             
032C - 4 Bytes           DE7D76F4 : 0                  DE7D362C : 100000             
0330 - 4 Bytes           DE7D76F8 : 0                  DE7D3630 : 724334             
0334 - 4 Bytes           DE7D76FC : 0                  DE7D3634 : 1000000            
0338 - 4 Bytes           DE7D7700 : 0                  DE7D3638 : 22000              
033C - 4 Bytes           DE7D7704 : 0                  DE7D363C : 0                  
0340 - 4 Bytes           DE7D7708 : 0                  DE7D3640 : 0                  
0344 - 4 Bytes           DE7D770C : 0                  DE7D3644 : 203940             
0348 - 4 Bytes           DE7D7710 : 0                  DE7D3648 : 1000000            
034C - 4 Bytes           DE7D7714 : 0                  DE7D364C : 20000              
0350 - 4 Bytes           DE7D7718 : 0                  DE7D3650 : 0                  
0354 - 4 Bytes           DE7D771C : 0                  DE7D3654 : 0                  
0358 - 4 Bytes           DE7D7720 : 0                  DE7D3658 : 0                  
035C - 4 Bytes           DE7D7724 : 0                  DE7D365C : 0                  
0360 - 4 Bytes           DE7D7728 : 0                  DE7D3660 : 0                  
0364 - 4 Bytes           DE7D772C : 0                  DE7D3664 : 0                  
0368 - 4 Bytes (Hex)     DE7D7730 : 0000FFFF           DE7D3668 : 0000FFFF           
036C - 4 Bytes           DE7D7734 : 0                  DE7D366C : 0                  
0370 - 4 Bytes           DE7D7738 : 0                  DE7D3670 : 0                  
0374 - 4 Bytes           DE7D773C : 0                  DE7D3674 : 0                  
0378 - Pointer to instance of white::battle::BattleCharaDE7D7740 : P->DE7D73C8        DE7D3678 : P->DE7D3300        
037C - Pointer           DE7D7744 : P->DE7D13D0        DE7D367C : P->DE7D12C0        
0380 - 4 Bytes           DE7D7748 : 0                  DE7D3680 : 0                  
0384 - 4 Bytes           DE7D774C : 5000               DE7D3684 : 2600               
0388 - 4 Bytes           DE7D7750 : 0                  DE7D3688 : 0                  
038C - 4 Bytes           DE7D7754 : 12000              DE7D368C : 10000              
0390 - 4 Bytes           DE7D7758 : 0                  DE7D3690 : 0                  
0394 - 4 Bytes           DE7D775C : 24000              DE7D3694 : 33000              
0398 - 4 Bytes           DE7D7760 : 20000              DE7D3698 : 33000              
039C - 4 Bytes           DE7D7764 : 0                  DE7D369C : 10000              
03A0 - 4 Bytes           DE7D7768 : 0                  DE7D36A0 : 0                  
03A4 - 4 Bytes           DE7D776C : 0                  DE7D36A4 : 0                  
03A8 - 4 Bytes           DE7D7770 : 0                  DE7D36A8 : 0                  
03AC - 4 Bytes           DE7D7774 : 9000               DE7D36AC : 1000               
03B0 - 4 Bytes           DE7D7778 : 0                  DE7D36B0 : 0                  
03B4 - 4 Bytes           DE7D777C : 0                  DE7D36B4 : 10500              
03B8 - 4 Bytes           DE7D7780 : 0                  DE7D36B8 : 5000               
03BC - 4 Bytes           DE7D7784 : 0                  DE7D36BC : 0                  
03C0 - 4 Bytes           DE7D7788 : 10000              DE7D36C0 : 10000              
03C4 - 4 Bytes           DE7D778C : 10000              DE7D36C4 : 10000              
03C8 - 4 Bytes           DE7D7790 : 10000              DE7D36C8 : 10000              
03CC - 4 Bytes           DE7D7794 : 10000              DE7D36CC : 10000              
03D0 - 4 Bytes           DE7D7798 : 10000              DE7D36D0 : 10000              
03D4 - 4 Bytes           DE7D779C : 0                  DE7D36D4 : 0                  
03D8 - 4 Bytes           DE7D77A0 : 10000              DE7D36D8 : 10000              
03DC - 4 Bytes           DE7D77A4 : 0                  DE7D36DC : 0                  
03E0 - 4 Bytes           DE7D77A8 : 3000               DE7D36E0 : 0                  
03E4 - 4 Bytes           DE7D77AC : 3000               DE7D36E4 : 0                  
03E8 - 4 Bytes           DE7D77B0 : 3000               DE7D36E8 : 0                  
03EC - 4 Bytes           DE7D77B4 : 3000               DE7D36EC : 0                  
03F0 - 4 Bytes           DE7D77B8 : 3000               DE7D36F0 : 0                  
03F4 - 4 Bytes           DE7D77BC : 3000               DE7D36F4 : 0                  
03F8 - 4 Bytes           DE7D77C0 : 3000               DE7D36F8 : 0                  
03FC - 4 Bytes           DE7D77C4 : 3000               DE7D36FC : 0                  
0400 - 4 Bytes           DE7D77C8 : 3000               DE7D3700 : 0                  
0404 - 4 Bytes           DE7D77CC : 3000               DE7D3704 : 0                  
0408 - 4 Bytes           DE7D77D0 : 3000               DE7D3708 : 0                  
040C - 4 Bytes           DE7D77D4 : 3000               DE7D370C : 0                  
0410 - 4 Bytes           DE7D77D8 : 3000               DE7D3710 : 0                  
0414 - 4 Bytes           DE7D77DC : 3000               DE7D3714 : 0                  
0418 - 4 Bytes           DE7D77E0 : 3000               DE7D3718 : 0                  
041C - 4 Bytes           DE7D77E4 : 0                  DE7D371C : 0                  
0420 - 4 Bytes           DE7D77E8 : 0                  DE7D3720 : 0                  
0424 - 4 Bytes           DE7D77EC : 0                  DE7D3724 : 0                  
0428 - 4 Bytes           DE7D77F0 : 0                  DE7D3728 : 0                  
042C - 4 Bytes           DE7D77F4 : 0                  DE7D372C : 0                  
0430 - 4 Bytes           DE7D77F8 : 0                  DE7D3730 : 0                  
0434 - 4 Bytes           DE7D77FC : 0                  DE7D3734 : 0                  
0438 - 4 Bytes           DE7D7800 : 0                  DE7D3738 : 0                  
043C - 4 Bytes           DE7D7804 : 0                  DE7D373C : 0                  
0440 - 4 Bytes           DE7D7808 : 0                  DE7D3740 : 0                  
0444 - 4 Bytes           DE7D780C : 10000              DE7D3744 : 10000              
0448 - 4 Bytes           DE7D7810 : 10000              DE7D3748 : 10000              
044C - 4 Bytes           DE7D7814 : 0                  DE7D374C : 0                  
0450 - 4 Bytes           DE7D7818 : 3000               DE7D3750 : 0                  
0454 - 4 Bytes           DE7D781C : 0                  DE7D3754 : 0                  
0458 - 4 Bytes           DE7D7820 : 3000               DE7D3758 : 0                  
045C - 4 Bytes           DE7D7824 : 3000               DE7D375C : 0                  
0460 - 4 Bytes           DE7D7828 : 3000               DE7D3760 : 0                  
0464 - 4 Bytes           DE7D782C : 0                  DE7D3764 : 0                  
0468 - 4 Bytes           DE7D7830 : 0                  DE7D3768 : 0                  
046C - 4 Bytes           DE7D7834 : 0                  DE7D376C : 0                  
0470 - 4 Bytes           DE7D7838 : 10000              DE7D3770 : 10000              
0474 - 4 Bytes           DE7D783C : 0                  DE7D3774 : 0                  
0478 - 4 Bytes           DE7D7840 : 0                  DE7D3778 : 0                  
047C - 4 Bytes           DE7D7844 : 0                  DE7D377C : 0                  
0480 - 4 Bytes           DE7D7848 : 0                  DE7D3780 : 0                  
0484 - 4 Bytes           DE7D784C : 0                  DE7D3784 : 0                  
0488 - 4 Bytes           DE7D7850 : 0                  DE7D3788 : 0                  
048C - 4 Bytes           DE7D7854 : 0                  DE7D378C : 0                  
0490 - 4 Bytes           DE7D7858 : 0                  DE7D3790 : 0                  
0494 - 4 Bytes           DE7D785C : 0                  DE7D3794 : 0                  
0498 - 4 Bytes           DE7D7860 : 0                  DE7D3798 : 0                  
049C - 4 Bytes           DE7D7864 : 0                  DE7D379C : 0                  
04A0 - 4 Bytes           DE7D7868 : 0                  DE7D37A0 : 0                  
04A4 - 4 Bytes           DE7D786C : 0                  DE7D37A4 : 0                  
04A8 - 4 Bytes           DE7D7870 : 0                  DE7D37A8 : 0                  
04AC - 4 Bytes           DE7D7874 : 0                  DE7D37AC : 0                  
04B0 - 4 Bytes           DE7D7878 : 0                  DE7D37B0 : 0                  
04B4 - 4 Bytes           DE7D787C : 0                  DE7D37B4 : 0                  
04B8 - 4 Bytes           DE7D7880 : 0                  DE7D37B8 : 0                  
04BC - 4 Bytes           DE7D7884 : 0                  DE7D37BC : 0                  
04C0 - 4 Bytes           DE7D7888 : 0                  DE7D37C0 : 0                  
04C4 - 4 Bytes           DE7D788C : 0                  DE7D37C4 : 0                  
04C8 - 4 Bytes           DE7D7890 : 0                  DE7D37C8 : 0                  
04CC - 4 Bytes           DE7D7894 : 0                  DE7D37CC : 0                  
04D0 - 4 Bytes           DE7D7898 : 0                  DE7D37D0 : 0                  
04D4 - 4 Bytes           DE7D789C : 0                  DE7D37D4 : 0                  
04D8 - 4 Bytes           DE7D78A0 : 0                  DE7D37D8 : 0                  
04DC - 4 Bytes           DE7D78A4 : 0                  DE7D37DC : 0                  
04E0 - 4 Bytes           DE7D78A8 : 0                  DE7D37E0 : 0                  
04E4 - 4 Bytes           DE7D78AC : 0                  DE7D37E4 : 0                  
04E8 - 4 Bytes           DE7D78B0 : 0                  DE7D37E8 : 0                  
04EC - 4 Bytes           DE7D78B4 : 0                  DE7D37EC : 0                  
04F0 - 4 Bytes           DE7D78B8 : 0                  DE7D37F0 : 0                  
04F4 - 4 Bytes           DE7D78BC : 0                  DE7D37F4 : 0                  
04F8 - 4 Bytes           DE7D78C0 : 0                  DE7D37F8 : 0                  
04FC - 4 Bytes           DE7D78C4 : 0                  DE7D37FC : 0                  
0500 - 4 Bytes           DE7D78C8 : 0                  DE7D3800 : 0                  
0504 - 4 Bytes           DE7D78CC : 0                  DE7D3804 : 0                  
0508 - 4 Bytes           DE7D78D0 : 0                  DE7D3808 : 0                  
050C - 4 Bytes           DE7D78D4 : 0                  DE7D380C : 0                  
0510 - 4 Bytes           DE7D78D8 : 0                  DE7D3810 : 0                  
0514 - 4 Bytes           DE7D78DC : 0                  DE7D3814 : 0                  
0518 - 4 Bytes           DE7D78E0 : 0                  DE7D3818 : 0                  
051C - 4 Bytes           DE7D78E4 : 0                  DE7D381C : 0                  
0520 - 4 Bytes           DE7D78E8 : 0                  DE7D3820 : 0                  
0524 - 4 Bytes           DE7D78EC : 0                  DE7D3824 : 0                  
0528 - 4 Bytes           DE7D78F0 : 0                  DE7D3828 : 0                  
052C - 4 Bytes           DE7D78F4 : 0                  DE7D382C : 0                  
0530 - 4 Bytes           DE7D78F8 : 0                  DE7D3830 : 0                  
0534 - 4 Bytes           DE7D78FC : 0                  DE7D3834 : 0                  
0538 - 4 Bytes           DE7D7900 : 0                  DE7D3838 : 0                  
053C - 4 Bytes           DE7D7904 : 0                  DE7D383C : 0                  
0540 - 4 Bytes           DE7D7908 : 0                  DE7D3840 : 0                  
0544 - 4 Bytes           DE7D790C : 0                  DE7D3844 : 0                  
0548 - 4 Bytes           DE7D7910 : 0                  DE7D3848 : 0                  
054C - 4 Bytes           DE7D7914 : 0                  DE7D384C : 0                  
0550 - 4 Bytes           DE7D7918 : 0                  DE7D3850 : 0                  
0554 - 4 Bytes           DE7D791C : 0                  DE7D3854 : 0                  
0558 - 4 Bytes           DE7D7920 : 0                  DE7D3858 : 0                  
055C - 4 Bytes           DE7D7924 : 0                  DE7D385C : 0                  
0560 - 4 Bytes           DE7D7928 : 0                  DE7D3860 : 0                  
0564 - 4 Bytes           DE7D792C : 0                  DE7D3864 : 0                  
0568 - 4 Bytes           DE7D7930 : 0                  DE7D3868 : 0                  
056C - 4 Bytes           DE7D7934 : 0                  DE7D386C : 0                  
0570 - 4 Bytes           DE7D7938 : 0                  DE7D3870 : 0                  
0574 - 4 Bytes           DE7D793C : 0                  DE7D3874 : 0                  
0578 - 4 Bytes           DE7D7940 : 0                  DE7D3878 : 0                  
057C - 4 Bytes           DE7D7944 : 0                  DE7D387C : 0                  
0580 - 4 Bytes           DE7D7948 : 0                  DE7D3880 : 0                  
0584 - 4 Bytes           DE7D794C : 0                  DE7D3884 : 0                  
0588 - 4 Bytes           DE7D7950 : 0                  DE7D3888 : 0                  
058C - 4 Bytes           DE7D7954 : 0                  DE7D388C : 0                  
0590 - 4 Bytes           DE7D7958 : 0                  DE7D3890 : 0                  
0594 - 4 Bytes           DE7D795C : 0                  DE7D3894 : 0                  
0598 - 4 Bytes           DE7D7960 : 0                  DE7D3898 : 0                  
059C - 4 Bytes           DE7D7964 : 0                  DE7D389C : 0                  
05A0 - 4 Bytes           DE7D7968 : 0                  DE7D38A0 : 0                  
05A4 - 4 Bytes           DE7D796C : 0                  DE7D38A4 : 0                  
05A8 - 4 Bytes           DE7D7970 : 0                  DE7D38A8 : 0                  
05AC - 4 Bytes           DE7D7974 : 0                  DE7D38AC : 0                  
05B0 - 4 Bytes           DE7D7978 : 0                  DE7D38B0 : 0                  
05B4 - 4 Bytes           DE7D797C : 0                  DE7D38B4 : 0                  
05B8 - 4 Bytes           DE7D7980 : 0                  DE7D38B8 : 0                  
05BC - 4 Bytes           DE7D7984 : 0                  DE7D38BC : 0                  
05C0 - 4 Bytes           DE7D7988 : 0                  DE7D38C0 : 0                  
05C4 - 4 Bytes           DE7D798C : 0                  DE7D38C4 : 0                  
05C8 - 4 Bytes           DE7D7990 : 0                  DE7D38C8 : 0                  
05CC - 4 Bytes           DE7D7994 : 0                  DE7D38CC : 0                  
05D0 - 4 Bytes           DE7D7998 : 0                  DE7D38D0 : 0                  
05D4 - 4 Bytes           DE7D799C : 0                  DE7D38D4 : 0                  
05D8 - 4 Bytes           DE7D79A0 : 0                  DE7D38D8 : 0                  
