Offset-Description                                                                   
0000 - Pointer           DE863300 : P->028DEF14        DE8673C8 : P->028DEF14        
00AC - 4 Bytes           DE8633AC : 0                  DE867474 : 0                  
00B0 - Double            DE8633B0 : 0.0078125          DE867478 : 0.0078125          
00B8 - 4 Bytes           DE8633B8 : 0                  DE867480 : 0                  
00BC - 4 Bytes           DE8633BC : 0                  DE867484 : 0                  
00C0 - 4 Bytes           DE8633C0 : 0                  DE867488 : 0                  
00C4 - 4 Bytes           DE8633C4 : 0                  DE86748C : 0                  
00C8 - 4 Bytes           DE8633C8 : 0                  DE867490 : 0                  
00CC - 4 Bytes           DE8633CC : 0                  DE867494 : 0                  
00D0 - 4 Bytes           DE8633D0 : 0                  DE867498 : 0                  
00D4 - 4 Bytes           DE8633D4 : 0                  DE86749C : 0                  
00D8 - 4 Bytes           DE8633D8 : 0                  DE8674A0 : 0                  
00DC - 4 Bytes           DE8633DC : 0                  DE8674A4 : 0                  
00E0 - Double            DE8633E0 : 0.0078125          DE8674A8 : 0.0078125          
00E8 - 4 Bytes           DE8633E8 : 0                  DE8674B0 : 0                  
00EC - 4 Bytes           DE8633EC : 0                  DE8674B4 : 0                  
00F0 - Double            DE8633F0 : 0.0078125          DE8674B8 : 0.0078125          
00F8 - String            DE8633F8 : at020_00           DE8674C0 : m300_ac10          
0101 - 4 Bytes (有符号)DE863401 : 0                  DE8674C9 : 48                 
0102 - Byte              DE863402 : 0                  DE8674CA : 0                  
0103 - Byte              DE863403 : 0                  DE8674CB : 0                  
0104 - 4 Bytes           DE863404 : 0                  DE8674CC : 0                  
0108 - String            DE863408 : at010_00_          DE8674D0 : m300_ac10          
0111 - Byte              DE863411 : 116                DE8674D9 : 48                 
0112 - Byte              DE863412 : 0                  DE8674DA : 0                  
0113 - Byte              DE863413 : 0                  DE8674DB : 0                  
0114 - 4 Bytes           DE863414 : 0                  DE8674DC : 0                  
0118 - 4 Bytes           DE863418 : 0                  DE8674E0 : 0                  
011C - 4 Bytes           DE86341C : 0                  DE8674E4 : 0                  
0120 - 4 Bytes           DE863420 : 0                  DE8674E8 : 0                  
0124 - 4 Bytes           DE863424 : 0                  DE8674EC : 0                  
0128 - 4 Bytes           DE863428 : 0                  DE8674F0 : 0                  
012C - 4 Bytes           DE86342C : 0                  DE8674F4 : 0                  
0130 - 4 Bytes           DE863430 : 0                  DE8674F8 : 0                  
0134 - 4 Bytes           DE863434 : 0                  DE8674FC : 0                  
0138 - String            DE863438 : m300_ac100         DE867500 : at020_00           
0143 - Byte              DE863443 : 0                  DE86750B : 0                  
0144 - 4 Bytes           DE863444 : 0                  DE86750C : 0                  
0148 - String            DE863448 : m300_ac100         DE867510 : at010_00           
0153 - Byte              DE863453 : 0                  DE86751B : 0                  
0154 - 4 Bytes           DE863454 : 0                  DE86751C : 0                  
0158 - 4 Bytes           DE863458 : 0                  DE867520 : 825259105          
015C - 4 Bytes           DE86345C : 0                  DE867524 : 808476464          
0160 - 4 Bytes           DE863460 : 0                  DE867528 : 0                  
0164 - 4 Bytes           DE863464 : 0                  DE86752C : 0                  
0168 - 4 Bytes           DE863468 : 0                  DE867530 : 825259105          
016C - 4 Bytes           DE86346C : 0                  DE867534 : 808476464          
0170 - 4 Bytes           DE863470 : 0                  DE867538 : 0                  
0174 - 4 Bytes           DE863474 : 0                  DE86753C : 0                  
0178 - 4 Bytes           DE863478 : 0                  DE867540 : 0                  
017C - 4 Bytes           DE86347C : 0                  DE867544 : 0                  
0180 - 4 Bytes           DE863480 : 0                  DE867548 : 0                  
0184 - 4 Bytes           DE863484 : 0                  DE86754C : 0                  
0188 - 4 Bytes           DE863488 : 0                  DE867550 : 0                  
018C - 4 Bytes           DE86348C : 0                  DE867554 : 0                  
0190 - 4 Bytes           DE863490 : 0                  DE867558 : 0                  
0194 - 4 Bytes           DE863494 : 0                  DE86755C : 0                  
0198 - 4 Bytes           DE863498 : 0                  DE867560 : 0                  
019C - 4 Bytes           DE86349C : 0                  DE867564 : 0                  
01A0 - 4 Bytes           DE8634A0 : 0                  DE867568 : 0                  
01A4 - 4 Bytes           DE8634A4 : 4294967295         DE86756C : 4294967295         
01A8 - 4 Bytes           DE8634A8 : 4294967295         DE867570 : 4294967295         
01AC - 4 Bytes           DE8634AC : 393216             DE867574 : 393217             
01B0 - Pointer           DE8634B0 : P->028DDE84        DE867578 : P->028DDE84        
01B4 - Pointer           DE8634B4 : P->028DDD9C        DE86757C : P->028DDD9C        
01B8 - Pointer           DE8634B8 : P->028DDD80        DE867580 : P->028DDD80        
01BC - 4 Bytes (Hex)     DE8634BC : 000800FA           DE867584 : 000200F8           
01C0 - 4 Bytes           DE8634C0 : 4294967295         DE867588 : 1                  
01C4 - 4 Bytes           DE8634C4 : 4294967295         DE86758C : 4294967295         
01C8 - 4 Bytes           DE8634C8 : 4294967295         DE867590 : 4294967295         
01CC - 4 Bytes           DE8634CC : 4294967295         DE867594 : 4294967295         
01D0 - 4 Bytes           DE8634D0 : 4294967295         DE867598 : 4294967295         
01D4 - 4 Bytes           DE8634D4 : 4294967295         DE86759C : 4294967295         
01D8 - 4 Bytes           DE8634D8 : 4294967295         DE8675A0 : 4294967295         
01DC - 4 Bytes           DE8634DC : 4294967295         DE8675A4 : 4294967295         
01E0 - 4 Bytes           DE8634E0 : 4294967295         DE8675A8 : 4294967295         
01E4 - 4 Bytes           DE8634E4 : 4294967295         DE8675AC : 4294967295         
01E8 - 4 Bytes           DE8634E8 : 4294967295         DE8675B0 : 4294967295         
01EC - 4 Bytes           DE8634EC : 393217             DE8675B4 : 393216             
01F0 - 4 Bytes           DE8634F0 : 4294967295         DE8675B8 : 4294967295         
01F4 - 4 Bytes           DE8634F4 : 4294967295         DE8675BC : 4294967295         
01F8 - 4 Bytes           DE8634F8 : 393217             DE8675C0 : 393216             
01FC - 4 Bytes (Hex)     DE8634FC : 00001E4B           DE8675C4 : 0000266A           
0200 - 4 Bytes (Hex)     DE863500 : 00001E4B           DE8675C8 : 0000266A           
0204 - 4 Bytes (Hex)     DE863504 : 00000D47           DE8675CC : 00000C1E           
0208 - 4 Bytes (Hex)     DE863508 : 00001E4B           DE8675D0 : 000007BC           
020C - 4 Bytes (Hex)     DE86350C : E0000000           DE8675D4 : 00000C1E           
0210 - 4 Bytes           DE863510 : 0                  DE8675D8 : 0                  
0214 - Pointer           DE863514 : P->E0000000        DE8675DC : P->E0000000        
0218 - 4 Bytes (Hex)     DE863518 : 000008C4           DE8675E0 : 0000266A           
021C - Pointer           DE86351C : P->E0000000        DE8675E4 : P->E0000000        
0220 - Pointer           DE863520 : P->E0000000        DE8675E8 : P->E0000000        
0224 - Pointer           DE863524 : P->E0000000        DE8675EC : P->E0000000        
0228 - 4 Bytes           DE863528 : 0                  DE8675F0 : 0                  
022C - 4 Bytes           DE86352C : 0                  DE8675F4 : 0                  
0230 - Pointer           DE863530 : P->E0001D22        DE8675F8 : P->00000882        
0234 - 4 Bytes (Hex)     DE863534 : 00001E4B           DE8675FC : 000004E6           
0238 - Double            DE863538 : 0.0078125          DE867600 : 0.0078125          
0240 - Float             DE863540 : 1                  DE867608 : 1                  
0244 - 4 Bytes           DE863544 : 0                  DE86760C : 0                  
0248 - Float             DE863548 : 8                  DE867610 : 8                  
024C - Float             DE86354C : 10                 DE867614 : 500                
0250 - Float             DE863550 : 1                  DE867618 : 1                  
0254 - Float             DE863554 : 0.174532935        DE86761C : 0.174532935        
0258 - 4 Bytes           DE863558 : 0                  DE867620 : 0                  
025C - 4 Bytes           DE86355C : 1139               DE867624 : 2092               
0260 - 4 Bytes           DE863560 : 0                  DE867628 : 0                  
0264 - 4 Bytes           DE863564 : 133                DE86762C : 133                
0268 - 4 Bytes           DE863568 : 4294967295         DE867630 : 4294967295         
026C - 4 Bytes           DE86356C : 4294967295         DE867634 : 1966210            
0270 - 4 Bytes           DE863570 : 4294967295         DE867638 : 4294901760         
0274 - 4 Bytes           DE863574 : 4294967295         DE86763C : 4294967295         
0278 - 4 Bytes           DE863578 : 4294967295         DE867640 : 4294967295         
027C - 4 Bytes (Hex)     DE86357C : 0043CC00           DE867644 : 00420F00           
0280 - 4 Bytes (Hex)     DE863580 : 0A020C00           DE867648 : 12520000           
0284 - 4 Bytes (Hex)     DE863584 : 86A08042           DE86764C : 80E08040           
0288 - Pointer           DE863588 : P->01800003        DE867650 : P->01800003        
028C - 4 Bytes           DE86358C : 64                 DE867654 : 0                  
0290 - 4 Bytes           DE863590 : 0                  DE867658 : 2048               
0294 - 4 Bytes (Hex)     DE863594 : 000D0E00           DE86765C : 00001401           
0298 - 4 Bytes (Hex)     DE863598 : 00040000           DE867660 : 00030000           
029C - 4 Bytes (Hex)     DE86359C : 000FF1FF           DE867664 : 000F0000           
02A0 - 4 Bytes           DE8635A0 : 0                  DE867668 : 0                  
02A4 - Pointer           DE8635A4 : P->01001104        DE86766C : P->02200015        
02A8 - 4 Bytes (Hex)     DE8635A8 : 00041F10           DE867670 : 00042F10           
02AC - Pointer           DE8635AC : P->FF000000        DE867674 : P->FF000000        
02B0 - 4 Bytes           DE8635B0 : 255                DE867678 : 255                
02B4 - 4 Bytes           DE8635B4 : 0                  DE86767C : 0                  
02B8 - 4 Bytes           DE8635B8 : 0                  DE867680 : 0                  
02BC - 4 Bytes           DE8635BC : 0                  DE867684 : 0                  
02C0 - 4 Bytes           DE8635C0 : 0                  DE867688 : 0                  
02C4 - 4 Bytes           DE8635C4 : 13761              DE86768C : 13992              
02C8 - 4 Bytes           DE8635C8 : 0                  DE867690 : 0                  
02CC - Double            DE8635CC : 0.00010826688958333DE867694 : 0.000764829572290436
02D4 - 4 Bytes           DE8635D4 : 0                  DE86769C : 0                  
02D8 - 4 Bytes           DE8635D8 : 0                  DE8676A0 : 0                  
02DC - 4 Bytes           DE8635DC : 0                  DE8676A4 : 0                  
02E0 - 4 Bytes           DE8635E0 : 1089               DE8676A8 : 2250               
02E4 - 4 Bytes           DE8635E4 : 0                  DE8676AC : 0                  
02E8 - 4 Bytes           DE8635E8 : 0                  DE8676B0 : 0                  
02EC - 4 Bytes           DE8635EC : 0                  DE8676B4 : 0                  
02F0 - 4 Bytes           DE8635F0 : 0                  DE8676B8 : 0                  
02F4 - 4 Bytes           DE8635F4 : 0                  DE8676BC : 0                  
02F8 - 4 Bytes           DE8635F8 : 0                  DE8676C0 : 10000              
02FC - 4 Bytes           DE8635FC : 1250               DE8676C4 : 1250               
0300 - 4 Bytes           DE863600 : 0                  DE8676C8 : 0                  
0304 - 4 Bytes           DE863604 : 0                  DE8676CC : 0                  
0308 - 4 Bytes           DE863608 : 1089               DE8676D0 : 2250               
030C - 4 Bytes           DE86360C : 1300               DE8676D4 : 2600               
0310 - 4 Bytes           DE863610 : 0                  DE8676D8 : 10000              
0314 - 4 Bytes           DE863614 : 5000               DE8676DC : 10000              
0318 - 4 Bytes           DE863618 : 0                  DE8676E0 : 0                  
031C - 4 Bytes           DE86361C : 0                  DE8676E4 : 1000000            
0320 - 4 Bytes           DE863620 : 0                  DE8676E8 : 1000000            
0324 - 4 Bytes           DE863624 : 0                  DE8676EC : 20999              
0328 - 4 Bytes           DE863628 : 0                  DE8676F0 : 100000             
032C - 4 Bytes           DE86362C : 0                  DE8676F4 : 100000             
0330 - 4 Bytes           DE863630 : 0                  DE8676F8 : 1000000            
0334 - 4 Bytes           DE863634 : 0                  DE8676FC : 1000000            
0338 - 4 Bytes           DE863638 : 0                  DE867700 : 22000              
033C - 4 Bytes           DE86363C : 0                  DE867704 : 0                  
0340 - 4 Bytes           DE863640 : 0                  DE867708 : 0                  
0344 - 4 Bytes           DE863644 : 0                  DE86770C : 1000000            
0348 - 4 Bytes           DE863648 : 0                  DE867710 : 1000000            
034C - 4 Bytes           DE86364C : 0                  DE867714 : 20000              
0350 - 4 Bytes           DE863650 : 0                  DE867718 : 0                  
0354 - 4 Bytes           DE863654 : 0                  DE86771C : 0                  
0358 - 4 Bytes           DE863658 : 0                  DE867720 : 0                  
035C - 4 Bytes           DE86365C : 0                  DE867724 : 0                  
0360 - 4 Bytes           DE863660 : 0                  DE867728 : 0                  
0364 - 4 Bytes           DE863664 : 0                  DE86772C : 0                  
0368 - 4 Bytes (Hex)     DE863668 : 0000FFFF           DE867730 : 0000FFFF           
036C - 4 Bytes           DE86366C : 0                  DE867734 : 0                  
0370 - 4 Bytes           DE863670 : 0                  DE867738 : 0                  
0374 - 4 Bytes           DE863674 : 0                  DE86773C : 0                  
0378 - Pointer to instance of white::battle::BattleCharaDE863678 : P->DE863300        DE867740 : P->DE8673C8        
037C - Pointer           DE86367C : P->DE8612C0        DE867744 : P->DE8613D0        
0380 - 4 Bytes           DE863680 : 0                  DE867748 : 0                  
0384 - 4 Bytes           DE863684 : 1300               DE86774C : 2600               
0388 - 4 Bytes           DE863688 : 0                  DE867750 : 0                  
038C - 4 Bytes           DE86368C : 5000               DE867754 : 10000              
0390 - 4 Bytes           DE863690 : 0                  DE867758 : 0                  
0394 - 4 Bytes           DE863694 : 500                DE86775C : 33000              
0398 - 4 Bytes           DE863698 : 500                DE867760 : 33000              
039C - 4 Bytes           DE86369C : 0                  DE867764 : 10000              
03A0 - 4 Bytes           DE8636A0 : 0                  DE867768 : 0                  
03A4 - 4 Bytes           DE8636A4 : 0                  DE86776C : 0                  
03A8 - 4 Bytes           DE8636A8 : 0                  DE867770 : 0                  
03AC - 4 Bytes           DE8636AC : 4500               DE867774 : 1000               
03B0 - 4 Bytes           DE8636B0 : 0                  DE867778 : 0                  
03B4 - 4 Bytes           DE8636B4 : 0                  DE86777C : 10500              
03B8 - 4 Bytes           DE8636B8 : 0                  DE867780 : 5000               
03BC - 4 Bytes           DE8636BC : 0                  DE867784 : 0                  
03C0 - 4 Bytes           DE8636C0 : 5000               DE867788 : 10000              
03C4 - 4 Bytes           DE8636C4 : 15000              DE86778C : 10000              
03C8 - 4 Bytes           DE8636C8 : 12000              DE867790 : 10000              
03CC - 4 Bytes           DE8636CC : 10000              DE867794 : 10000              
03D0 - 4 Bytes           DE8636D0 : 10000              DE867798 : 10000              
03D4 - 4 Bytes           DE8636D4 : 0                  DE86779C : 0                  
03D8 - 4 Bytes           DE8636D8 : 10000              DE8677A0 : 10000              
03DC - 4 Bytes           DE8636DC : 0                  DE8677A4 : 0                  
03E0 - 4 Bytes           DE8636E0 : 2500               DE8677A8 : 0                  
03E4 - 4 Bytes           DE8636E4 : 2500               DE8677AC : 0                  
03E8 - 4 Bytes           DE8636E8 : 2500               DE8677B0 : 0                  
03EC - 4 Bytes           DE8636EC : 2500               DE8677B4 : 0                  
03F0 - 4 Bytes           DE8636F0 : 2500               DE8677B8 : 0                  
03F4 - 4 Bytes           DE8636F4 : 2500               DE8677BC : 0                  
03F8 - 4 Bytes           DE8636F8 : 2500               DE8677C0 : 0                  
03FC - 4 Bytes           DE8636FC : 2500               DE8677C4 : 0                  
0400 - 4 Bytes           DE863700 : 2500               DE8677C8 : 0                  
0404 - 4 Bytes           DE863704 : 2500               DE8677CC : 0                  
0408 - 4 Bytes           DE863708 : 2500               DE8677D0 : 0                  
040C - 4 Bytes           DE86370C : 2500               DE8677D4 : 0                  
0410 - 4 Bytes           DE863710 : 0                  DE8677D8 : 0                  
0414 - 4 Bytes           DE863714 : 2500               DE8677DC : 0                  
0418 - 4 Bytes           DE863718 : 2500               DE8677E0 : 0                  
041C - 4 Bytes           DE86371C : 0                  DE8677E4 : 0                  
0420 - 4 Bytes           DE863720 : 0                  DE8677E8 : 0                  
0424 - 4 Bytes           DE863724 : 0                  DE8677EC : 0                  
0428 - 4 Bytes           DE863728 : 0                  DE8677F0 : 0                  
042C - 4 Bytes           DE86372C : 0                  DE8677F4 : 0                  
0430 - 4 Bytes           DE863730 : 0                  DE8677F8 : 0                  
0434 - 4 Bytes           DE863734 : 0                  DE8677FC : 0                  
0438 - 4 Bytes           DE863738 : 0                  DE867800 : 0                  
043C - 4 Bytes           DE86373C : 0                  DE867804 : 0                  
0440 - 4 Bytes           DE863740 : 0                  DE867808 : 0                  
0444 - 4 Bytes           DE863744 : 10000              DE86780C : 10000              
0448 - 4 Bytes           DE863748 : 10000              DE867810 : 10000              
044C - 4 Bytes           DE86374C : 0                  DE867814 : 0                  
0450 - 4 Bytes           DE863750 : 0                  DE867818 : 0                  
0454 - 4 Bytes           DE863754 : 0                  DE86781C : 0                  
0458 - 4 Bytes           DE863758 : 0                  DE867820 : 0                  
045C - 4 Bytes           DE86375C : 0                  DE867824 : 0                  
0460 - 4 Bytes           DE863760 : 0                  DE867828 : 0                  
0464 - 4 Bytes           DE863764 : 0                  DE86782C : 0                  
0468 - 4 Bytes           DE863768 : 0                  DE867830 : 0                  
046C - 4 Bytes           DE86376C : 0                  DE867834 : 0                  
0470 - 4 Bytes           DE863770 : 10000              DE867838 : 10000              
0474 - 4 Bytes           DE863774 : 0                  DE86783C : 0                  
0478 - 4 Bytes           DE863778 : 0                  DE867840 : 0                  
047C - 4 Bytes           DE86377C : 0                  DE867844 : 0                  
0480 - 4 Bytes           DE863780 : 0                  DE867848 : 0                  
0484 - 4 Bytes           DE863784 : 0                  DE86784C : 0                  
0488 - 4 Bytes           DE863788 : 0                  DE867850 : 0                  
048C - 4 Bytes           DE86378C : 0                  DE867854 : 0                  
0490 - 4 Bytes           DE863790 : 0                  DE867858 : 0                  
0494 - 4 Bytes           DE863794 : 0                  DE86785C : 0                  
0498 - 4 Bytes           DE863798 : 0                  DE867860 : 0                  
049C - 4 Bytes           DE86379C : 0                  DE867864 : 0                  
04A0 - 4 Bytes           DE8637A0 : 0                  DE867868 : 0                  
04A4 - 4 Bytes           DE8637A4 : 0                  DE86786C : 0                  
04A8 - 4 Bytes           DE8637A8 : 0                  DE867870 : 0                  
04AC - 4 Bytes           DE8637AC : 0                  DE867874 : 0                  
04B0 - 4 Bytes           DE8637B0 : 0                  DE867878 : 0                  
04B4 - 4 Bytes           DE8637B4 : 0                  DE86787C : 0                  
04B8 - 4 Bytes           DE8637B8 : 0                  DE867880 : 0                  
04BC - 4 Bytes           DE8637BC : 0                  DE867884 : 0                  
04C0 - 4 Bytes           DE8637C0 : 0                  DE867888 : 0                  
04C4 - 4 Bytes           DE8637C4 : 0                  DE86788C : 0                  
04C8 - 4 Bytes           DE8637C8 : 0                  DE867890 : 0                  
04CC - 4 Bytes           DE8637CC : 0                  DE867894 : 0                  
04D0 - 4 Bytes           DE8637D0 : 0                  DE867898 : 0                  
04D4 - 4 Bytes           DE8637D4 : 0                  DE86789C : 0                  
04D8 - 4 Bytes           DE8637D8 : 0                  DE8678A0 : 0                  
04DC - 4 Bytes           DE8637DC : 0                  DE8678A4 : 0                  
04E0 - 4 Bytes           DE8637E0 : 0                  DE8678A8 : 0                  
04E4 - 4 Bytes           DE8637E4 : 0                  DE8678AC : 0                  
04E8 - 4 Bytes           DE8637E8 : 0                  DE8678B0 : 0                  
04EC - 4 Bytes           DE8637EC : 0                  DE8678B4 : 0                  
04F0 - 4 Bytes           DE8637F0 : 0                  DE8678B8 : 0                  
04F4 - 4 Bytes           DE8637F4 : 0                  DE8678BC : 0                  
04F8 - 4 Bytes           DE8637F8 : 0                  DE8678C0 : 0                  
04FC - 4 Bytes           DE8637FC : 0                  DE8678C4 : 0                  
0500 - 4 Bytes           DE863800 : 0                  DE8678C8 : 0                  
0504 - 4 Bytes           DE863804 : 0                  DE8678CC : 0                  
0508 - 4 Bytes           DE863808 : 0                  DE8678D0 : 0                  
050C - 4 Bytes           DE86380C : 0                  DE8678D4 : 0                  
0510 - 4 Bytes           DE863810 : 0                  DE8678D8 : 0                  
0514 - 4 Bytes           DE863814 : 0                  DE8678DC : 0                  
0518 - 4 Bytes           DE863818 : 0                  DE8678E0 : 0                  
051C - 4 Bytes           DE86381C : 0                  DE8678E4 : 0                  
0520 - 4 Bytes           DE863820 : 0                  DE8678E8 : 0                  
0524 - 4 Bytes           DE863824 : 0                  DE8678EC : 0                  
0528 - 4 Bytes           DE863828 : 0                  DE8678F0 : 0                  
052C - 4 Bytes           DE86382C : 0                  DE8678F4 : 0                  
0530 - 4 Bytes           DE863830 : 0                  DE8678F8 : 0                  
0534 - 4 Bytes           DE863834 : 0                  DE8678FC : 0                  
0538 - 4 Bytes           DE863838 : 0                  DE867900 : 0                  
053C - 4 Bytes           DE86383C : 0                  DE867904 : 0                  
0540 - 4 Bytes           DE863840 : 0                  DE867908 : 0                  
0544 - 4 Bytes           DE863844 : 0                  DE86790C : 0                  
0548 - 4 Bytes           DE863848 : 0                  DE867910 : 0                  
054C - 4 Bytes           DE86384C : 0                  DE867914 : 0                  
0550 - 4 Bytes           DE863850 : 0                  DE867918 : 0                  
0554 - 4 Bytes           DE863854 : 0                  DE86791C : 0                  
0558 - 4 Bytes           DE863858 : 0                  DE867920 : 0                  
055C - 4 Bytes           DE86385C : 0                  DE867924 : 0                  
0560 - 4 Bytes           DE863860 : 0                  DE867928 : 0                  
0564 - 4 Bytes           DE863864 : 0                  DE86792C : 0                  
0568 - 4 Bytes           DE863868 : 0                  DE867930 : 0                  
056C - 4 Bytes           DE86386C : 0                  DE867934 : 0                  
0570 - 4 Bytes           DE863870 : 0                  DE867938 : 0                  
0574 - 4 Bytes           DE863874 : 0                  DE86793C : 0                  
0578 - 4 Bytes           DE863878 : 0                  DE867940 : 0                  
057C - 4 Bytes           DE86387C : 0                  DE867944 : 0                  
0580 - 4 Bytes           DE863880 : 0                  DE867948 : 0                  
0584 - 4 Bytes           DE863884 : 0                  DE86794C : 0                  
0588 - 4 Bytes           DE863888 : 0                  DE867950 : 0                  
058C - 4 Bytes           DE86388C : 0                  DE867954 : 0                  
0590 - 4 Bytes           DE863890 : 0                  DE867958 : 0                  
0594 - 4 Bytes           DE863894 : 0                  DE86795C : 0                  
0598 - 4 Bytes           DE863898 : 0                  DE867960 : 0                  
059C - 4 Bytes           DE86389C : 0                  DE867964 : 0                  
05A0 - 4 Bytes           DE8638A0 : 0                  DE867968 : 0                  
05A4 - 4 Bytes           DE8638A4 : 0                  DE86796C : 0                  
05A8 - 4 Bytes           DE8638A8 : 0                  DE867970 : 0                  
05AC - 4 Bytes           DE8638AC : 0                  DE867974 : 0                  
05B0 - 4 Bytes           DE8638B0 : 0                  DE867978 : 0                  
05B4 - 4 Bytes           DE8638B4 : 0                  DE86797C : 0                  
05B8 - 4 Bytes           DE8638B8 : 0                  DE867980 : 0                  
05BC - 4 Bytes           DE8638BC : 0                  DE867984 : 0                  
05C0 - 4 Bytes           DE8638C0 : 0                  DE867988 : 0                  
05C4 - 4 Bytes           DE8638C4 : 0                  DE86798C : 0                  
05C8 - 4 Bytes           DE8638C8 : 0                  DE867990 : 0                  
05CC - 4 Bytes           DE8638CC : 0                  DE867994 : 0                  
05D0 - 4 Bytes           DE8638D0 : 0                  DE867998 : 0                  
05D4 - 4 Bytes           DE8638D4 : 0                  DE86799C : 0                  
05D8 - 4 Bytes           DE8638D8 : 0                  DE8679A0 : 0                  
05DC - 4 Bytes           DE8638DC : 0                  DE8679A4 : 0                  
05E0 - 4 Bytes           DE8638E0 : 0                  DE8679A8 : 0                  
05E4 - 4 Bytes           DE8638E4 : 0                  DE8679AC : 0                  
05E8 - 4 Bytes           DE8638E8 : 0                  DE8679B0 : 0                  
05EC - 4 Bytes           DE8638EC : 0                  DE8679B4 : 0                  
05F0 - 4 Bytes           DE8638F0 : 0                  DE8679B8 : 0                  
05F4 - 4 Bytes           DE8638F4 : 0                  DE8679BC : 0                  
05F8 - 4 Bytes           DE8638F8 : 0                  DE8679C0 : 0                  
05FC - 4 Bytes           DE8638FC : 0                  DE8679C4 : 0                  
0600 - 4 Bytes           DE863900 : 0                  DE8679C8 : 0                  
0604 - 4 Bytes           DE863904 : 0                  DE8679CC : 0                  
0608 - 4 Bytes           DE863908 : 0                  DE8679D0 : 0                  
060C - 4 Bytes           DE86390C : 0                  DE8679D4 : 0                  
0610 - 4 Bytes           DE863910 : 0                  DE8679D8 : 0                  
0614 - 4 Bytes           DE863914 : 0                  DE8679DC : 0                  
0618 - 4 Bytes           DE863918 : 0                  DE8679E0 : 0                  
061C - 4 Bytes           DE86391C : 0                  DE8679E4 : 0                  
0620 - 4 Bytes           DE863920 : 0                  DE8679E8 : 0                  
0624 - 4 Bytes           DE863924 : 0                  DE8679EC : 0                  
0628 - 4 Bytes           DE863928 : 0                  DE8679F0 : 0                  
062C - 4 Bytes           DE86392C : 0                  DE8679F4 : 0                  
0630 - 4 Bytes           DE863930 : 0                  DE8679F8 : 0                  
0634 - 4 Bytes           DE863934 : 0                  DE8679FC : 0                  
0638 - 4 Bytes           DE863938 : 0                  DE867A00 : 0                  
063C - 4 Bytes           DE86393C : 0                  DE867A04 : 0                  
0640 - 4 Bytes           DE863940 : 0                  DE867A08 : 0                  
0644 - 4 Bytes           DE863944 : 0                  DE867A0C : 0                  
0648 - 4 Bytes           DE863948 : 0                  DE867A10 : 0                  
064C - 4 Bytes           DE86394C : 0                  DE867A14 : 0                  
0650 - 4 Bytes           DE863950 : 0                  DE867A18 : 0                  
0654 - 4 Bytes           DE863954 : 0                  DE867A1C : 0                  
